date,ticker,open,high,low,close
2024/4/7,ETH,3353.27,3420.26,3345.05,3399.26
2024/5/7,ETH,3084.58,3129.88,3021.81,3051.12
2024/6/7,ETH,3800.07,3838.92,3597.05,3688.93
2024/7/7,ETH,3057.48,3078.78,2939.8,2959.39
2024/8/7,ETH,2492.89,2551.47,2324.5,2360.77
2024/9/7,ETH,2216.62,2310.7,2206.03,2264.59
2024/10/7,ETH,2417.41,2520.22,2417.25,2454.03
2024/11/7,ETH,2737.14,2919.17,2701.33,2882.86
2024/12/7,ETH,4029.39,4032.38,3973.13,4002.99
2025/2/7,ETH,2699.8,2798.24,2564.01,2583.99
2025/3/7,ETH,2211.36,2250.9,2103,2143.68
2017/9/28,LINK,0.2497,0.347,0.1938,0.2437
2017/10/28,LINK,0.2216,0.222,0.1947,0.2047
2017/11/28,LINK,0.1889,0.1969,0.1735,0.1785
2017/12/28,LINK,0.4711,0.5224,0.432,0.508
2018/1/28,LINK,0.8136,0.8845,0.7536,0.7772
2018/2/28,LINK,0.7217,0.7362,0.6618,0.6857
2018/3/28,LINK,0.3521,0.3604,0.3367,0.3464
2018/4/28,LINK,0.454,0.4853,0.4498,0.4781
2018/5/28,LINK,0.3455,0.3519,0.3159,0.3161
2018/6/28,LINK,0.1714,0.1759,0.1678,0.1682
2018/7/28,LINK,0.2728,0.2871,0.2514,0.2834
2018/8/28,LINK,0.3304,0.3408,0.3249,0.3368
2018/9/28,LINK,0.3493,0.352,0.325,0.3381
2018/10/28,LINK,0.4448,0.4521,0.4313,0.4396
2018/11/28,LINK,0.2919,0.3526,0.2853,0.3291
2018/12/28,LINK,0.2753,0.3065,0.2655,0.2951
2019/1/28,LINK,0.4312,0.4343,0.3541,0.4099
2019/2/28,LINK,0.4239,0.4363,0.4193,0.4253
2019/3/28,LINK,0.4923,0.5097,0.486,0.5014
2019/4/28,LINK,0.446,0.4579,0.436,0.442
2019/5/28,LINK,1.24,1.35,1.15,1.3
2019/6/28,LINK,2.265,2.919,2.163,2.881
2019/7/28,LINK,2.262,2.279,2.176,2.185
2019/8/28,LINK,2.089,2.125,1.87,1.925
2019/9/28,LINK,1.656,1.703,1.631,1.677
2019/10/28,LINK,2.679,2.888,2.66,2.716
2019/11/28,LINK,2.218,2.329,2.18,2.254
2019/12/28,LINK,1.87,1.895,1.856,1.886
2020/1/28,LINK,2.596,2.669,2.577,2.636
2020/2/28,LINK,3.98,4.228,3.77,4.213
2020/3/28,LINK,2.253,2.255,2.034,2.125
2020/4/28,LINK,3.588,3.744,3.561,3.628
2020/5/28,LINK,3.835,3.959,3.828,3.919
2020/6/28,LINK,4.475,4.619,4.33,4.543
2020/7/28,LINK,6.914,7.413,6.878,7.199
2020/8/28,LINK,14.57,15.5,14.26,15
2020/9/28,LINK,10.63,11.05,10.33,10.65
2020/10/28,LINK,12,12.15,11.17,11.36
2020/11/28,LINK,12.37,13.43,12.36,13.13
2020/12/28,LINK,12.24,12.92,11.97,12.55
2021/1/28,LINK,20.93,24.48,20.54,23.44
2021/2/28,LINK,26.1,26.76,22.94,24.71
2021/3/28,LINK,27.08,27.65,26.12,26.4
2021/4/28,LINK,37.01,37.82,35.04,36.34
2021/5/28,LINK,32.54,32.59,26.92,27.49
2021/6/28,LINK,16.85,19.41,16.83,19.26
2021/7/28,LINK,19.11,19.99,18.63,19.1
2021/8/28,LINK,25.94,26.19,25.4,25.7
2021/9/28,LINK,23.59,23.8,22.19,22.63
2021/10/28,LINK,29.47,30.84,28.68,30.1
2021/11/28,LINK,24.3605,24.5865,22.857,24.1491
2021/12/28,LINK,23.437,23.4547,20.3441,20.6741
2022/1/28,LINK,14.8759,16.2849,14.7444,15.9332
2022/2/28,LINK,13.7155,15.1476,13.3367,14.896
2022/3/28,LINK,16.615,17.3752,16.5266,16.9468
2022/4/28,LINK,12.7013,12.9913,12.4,12.6313
2022/5/28,LINK,6.33366,6.58315,6.19157,6.46243
2022/6/28,LINK,6.53418,7.25339,6.29446,6.50193
2022/7/28,LINK,6.74542,7.28688,6.6865,7.21024
2022/8/28,LINK,6.49203,6.62923,6.41575,6.4584
2022/9/28,LINK,7.92871,8.5344,7.80682,7.8314
2022/10/28,LINK,6.93372,7.20124,6.83097,7.08912
2022/11/28,LINK,7.09366,7.34094,6.5347,7.19856
2022/12/28,LINK,5.8885,5.91056,5.62652,5.64535
2023/1/28,LINK,7.31449,7.5059,7.12268,7.18184
2023/2/28,LINK,7.26094,7.42355,7.09939,7.2496
2023/3/28,LINK,6.85192,7.04583,6.75447,6.9156
2023/4/28,LINK,7.16196,7.18933,6.95439,7.04702
2023/5/28,LINK,6.41687,6.5971,6.41522,6.54681
2023/6/28,LINK,6.21308,6.22502,5.7078,5.83184
